target,n_c1,n_c2,total,log2_ratio,word_type,bin,cosine_distance,intra_variance_c1,intra_variance_c2,pos_tag,stance_count,total_words_c1,total_words_c2,grand_total,keyness
civilisation,59,378,437,-2.659163443,pd,4,0.002110362,0.141463891,0.142908648,NN,1,3343187,3426165,6769352,252.13772728701719
wokisme,78,243,321,-1.626956589,pd,3,0.001779556,0.079147048,0.084893636,NN,2,3343187,3426165,6769352,85.01648844174473
racine,55,192,247,-1.785102115,pd,1,0.01133126,0.24766846,0.217041358,NN,2,3343187,3426165,6769352,77.14267887086744
woke,79,200,279,-1.329123596,pd,2,0.002855182,0.119193502,0.12978448,NN,2,3343187,3426165,6769352,51.33706810211831
déclin,37,121,158,-1.682809824,pd,,0.004839897,0.133405596,0.127287492,NN,2,3343187,3426165,6769352,45.009024060652884
décadence,26,92,118,-1.784271309,pd,,0.004613042,0.097561061,0.109565489,NN,2,3343187,3426165,6769352,37.53150555532215
civilisationnel,5,46,51,-2.969626351,pd,,0.049674094,0.338242441,0.262699515,ADJ,1,3343187,3426165,6769352,36.986892294861846
wokiste,19,73,92,-1.887525271,pd,,0.010286689,0.114272729,0.099401511,NN,2,3343187,3426165,6769352,32.51606140249214
quartier populaire,56,13,69,2.025535092,pd,,0.005410552,0.084701918,0.111574978,NN,1,3343187,3426165,6769352,29.94057011633881
biologique,30,85,115,-1.472068444,pd,,0.003639877,0.195830241,0.185431853,NN,1,3343187,3426165,6769352,26.081287677253428
enracinement,2,26,28,-3.169925001,pd,,0.067789793,0.132409811,0.136231855,NN,2,3343187,3426165,6769352,23.82228002046812
antisémite,610,796,1406,-0.383407344,pd,7,0.00346148,0.09918651,0.107669585,NN,2,3343187,3426165,6769352,20.333571549882265
orwellien,1,12,13,-2.700439718,pd,,0.047117352,0,0.093762189,ADJ,2,3343187,3426165,6769352,10.703186655683004
droits des femmes,75,48,123,0.633217669,pd,,0.003002524,0.072351828,0.076848291,NN,1,3343187,3426165,6769352,6.655931457876903
orwell,13,28,41,-1.050626073,pd,,0.00655067,0.092312567,0.089932337,NN,2,3343187,3426165,6769352,5.255731967179775
classe populaire,39,22,61,0.798366139,pd,,0.005623817,0.068961941,0.106344745,NN,1,3343187,3426165,6769352,5.227023061026102
génétique,46,56,102,-0.278301162,pd,,0.009663701,0.163051322,0.174209714,NN,1,3343187,3426165,6769352,0.7521371723348267
dystopie,12,17,29,-0.469485283,pd,,0.010778785,0.090889804,0.109716833,NN,2,3343187,3426165,6769352,0.7481674817401984
fascisme,254,242,496,0.069540933,pd,5,0.002831399,0.089203395,0.092607714,NN,1,3343187,3426165,6769352,0.6591359631067597
fasciste,402,419,821,-0.059609489,pd,6,0.001161873,0.129538953,0.137230307,NN,1,3343187,3426165,6769352,0.058622154442076635
enraciné,1,1,2,0,pd,,0.089514971,0,0,ADJ,2,3343187,3426165,6769352,0.000300534
